value,observed_proportion,wba_predictive_mean_proportion,wba_predictive_lower_5,wba_predictive_upper_95,sba_predictive_mean_proportion,sba_predictive_lower_5,sba_predictive_upper_95
1,0.012254901960784314,0.023267728758170122,0.019934640522875816,0.026633986928104574,0.051718790849673235,0.04738562091503268,0.05604575163398693
2,0.05212418300653595,0.05192467320261446,0.04738562091503268,0.05669934640522876,0.07192336601307187,0.06683006535947712,0.07712418300653595
3,0.13055555555555556,0.12411981209150312,0.11748366013071895,0.13088235294117648,0.12328790849673282,0.11666666666666667,0.12990196078431374
4,0.19133986928104574,0.21752933006535674,0.2084967320261438,0.22647058823529412,0.17099301470588044,0.1630718954248366,0.17908496732026144
5,0.225,0.24980383986928092,0.24052287581699347,0.2593137254901961,0.19240612745098254,0.1843137254901961,0.20049019607843138
6,0.21650326797385622,0.1840537581699331,0.17598039215686276,0.1919934640522876,0.1727491421568604,0.16486928104575163,0.18055555555555555
7,0.12140522875816993,0.09622679738562137,0.09019607843137255,0.10245098039215686,0.11954934640522993,0.1130718954248366,0.1261437908496732
8,0.05081699346405229,0.05307406045751613,0.047875816993464056,0.05816993464052288,0.09737230392156966,0.0915032679738562,0.1034313725490196
