,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
log_lik[79],-1.39216,0.000529039,0.0188265,0.0186521,-1.4277,-1.3896,-1.3657,1324.47,1544.9,1447.51,1.00192
log_lik[80],-1.30845,0.000783427,0.0280912,0.0284865,-1.35907,-1.30621,-1.26588,1324.47,1544.9,1447.51,1.00192
log_lik[81],-1.05733,0.00155269,0.0562137,0.0576485,-1.15317,-1.05602,-0.9664,1324.47,1544.9,1447.51,1.00192
log_lik[82],-1.1515,0.00126377,0.045644,0.0466012,-1.23038,-1.14984,-1.0787,1324.47,1544.9,1447.51,1.00192
log_lik[83],-1.65375,0.000301724,0.0119193,0.0097352,-1.67766,-1.65024,-1.64221,1413.68,2397.53,1545.01,1.00246
log_lik[84],-1.30845,0.000783427,0.0280912,0.0284865,-1.35907,-1.30621,-1.26588,1324.47,1544.9,1447.51,1.00192
log_lik[85],-2.99307,0.00440554,0.162046,0.163828,-3.27487,-2.98454,-2.74031,1324.47,1544.9,1447.51,1.00192
log_lik[86],-1.39216,0.000529039,0.0188265,0.0186521,-1.4277,-1.3896,-1.3657,1324.47,1544.9,1447.51,1.00192
log_lik[87],-1.10965,0.00139214,0.0503397,0.0514858,-1.19606,-1.10814,-1.02879,1324.47,1544.9,1447.51,1.00192
log_lik[88],-2.14553,0.0018003,0.0666597,0.0669809,-2.26413,-2.14016,-2.0454,1324.47,1544.9,1447.51,1.00192
log_lik[89],-1.05733,0.00155269,0.0562137,0.0576485,-1.15317,-1.05602,-0.9664,1324.47,1544.9,1447.51,1.00192
log_lik[90],-1.1515,0.00126377,0.045644,0.0466012,-1.23038,-1.14984,-1.0787,1324.47,1544.9,1447.51,1.00192
log_lik[91],-1.39216,0.000529039,0.0188265,0.0186521,-1.4277,-1.3896,-1.3657,1324.47,1544.9,1447.51,1.00192
log_lik[92],-2.31295,0.00231463,0.0854872,0.0862549,-2.46378,-2.30695,-2.18267,1324.47,1544.9,1447.51,1.00192
log_lik[93],-3.2143,0.00508585,0.186957,0.189277,-3.53869,-3.20494,-2.9217,1324.47,1544.9,1447.51,1.00192
log_lik[94],-1.30845,0.000783427,0.0280912,0.0284865,-1.35907,-1.30621,-1.26588,1324.47,1544.9,1447.51,1.00192
log_lik[95],-1.65375,0.000301724,0.0119193,0.0097352,-1.67766,-1.65024,-1.64221,1413.68,2397.53,1545.01,1.00246
log_lik[96],-1.05733,0.00155269,0.0562137,0.0576485,-1.15317,-1.05602,-0.9664,1324.47,1544.9,1447.51,1.00192
log_lik[97],-2.49232,0.00286594,0.105671,0.106808,-2.6777,-2.48566,-2.32974,1324.47,1544.9,1447.51,1.00192
log_lik[98],-1.30845,0.000783427,0.0280912,0.0284865,-1.35907,-1.30621,-1.26588,1324.47,1544.9,1447.51,1.00192
log_lik[99],-1.06929,0.00151599,0.0548707,0.0562506,-1.16297,-1.06794,-0.980661,1324.47,1544.9,1447.51,1.00192
log_lik[100],-1.10965,0.00139214,0.0503397,0.0514858,-1.19606,-1.10814,-1.02879,1324.47,1544.9,1447.51,1.00192
log_lik[101],-1.77931,0.000678438,0.0256299,0.0246513,-1.8274,-1.77531,-1.74513,1324.38,1544.9,1447.42,1.00191
log_lik[102],-1.30845,0.000783427,0.0280912,0.0284865,-1.35907,-1.30621,-1.26588,1324.47,1544.9,1447.51,1.00192
log_lik[103],-1.06929,0.00151599,0.0548707,0.0562506,-1.16297,-1.06794,-0.980661,1324.47,1544.9,1447.51,1.00192
log_lik[104],-1.77931,0.000678438,0.0256299,0.0246513,-1.8274,-1.77531,-1.74513,1324.38,1544.9,1447.42,1.00191
log_lik[105],-1.05733,0.00155269,0.0562137,0.0576485,-1.15317,-1.05602,-0.9664,1324.47,1544.9,1447.51,1.00192
log_lik[106],-1.65375,0.000301724,0.0119193,0.0097352,-1.67766,-1.65024,-1.64221,1413.68,2397.53,1545.01,1.00246
log_lik[107],-1.30845,0.000783427,0.0280912,0.0284865,-1.35907,-1.30621,-1.26588,1324.47,1544.9,1447.51,1.00192
log_lik[108],-2.31295,0.00231463,0.0854872,0.0862549,-2.46378,-2.30695,-2.18267,1324.47,1544.9,1447.51,1.00192
log_lik[109],-1.30845,0.000783427,0.0280912,0.0284865,-1.35907,-1.30621,-1.26588,1324.47,1544.9,1447.51,1.00192
log_lik[110],-1.77931,0.000678438,0.0256299,0.0246513,-1.8274,-1.77531,-1.74513,1324.38,1544.9,1447.42,1.00191
