,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
mu[95],4.8232,0.00106474,0.0542432,0.0511373,4.74744,4.81567,4.92359,2566.56,2537.41,1304.81,1.00025
mu[96],4.77367,0.00063743,0.0315119,0.0312207,4.72208,4.77318,4.82617,2485.84,1819.11,1263.77,1.00146
mu[97],4.74064,0.000753526,0.0399234,0.0387268,4.67171,4.74264,4.80238,2859.4,2621.85,1453.69,1.00092
mu[98],4.80669,0.000872091,0.0437318,0.0424546,4.7414,4.8032,4.88553,2548.58,2543.25,1295.67,1.00032
mu[99],3.679,0.00191229,0.0945358,0.0936621,3.52148,3.68047,3.83376,2485.84,1819.11,1263.77,1.00146
mu[100],4.27587,0.000918839,0.0496431,0.0467361,4.2032,4.27101,4.36612,2866.81,2649.34,1457.45,1.00027
mu[101],4.72413,0.000918839,0.0496431,0.0467361,4.63388,4.72899,4.7968,2866.81,2649.34,1457.45,1.00027
mu[102],4.19331,0.000872091,0.0437318,0.0424546,4.11447,4.1968,4.2586,2548.58,2543.25,1295.67,1.00032
mu[103],5.321,0.00191229,0.0945358,0.0936621,5.16624,5.31953,5.47852,2485.84,1819.11,1263.77,1.00146
mu[104],4.72413,0.000918839,0.0496431,0.0467361,4.63388,4.72899,4.7968,2866.81,2649.34,1457.45,1.00027
mu[105],4.22633,0.00063743,0.0315119,0.0312207,4.17383,4.22682,4.27792,2485.84,1819.11,1263.77,1.00146
mu[106],4.8232,0.00106474,0.0542432,0.0511373,4.74744,4.81567,4.92359,2566.56,2537.41,1304.81,1.00025
mu[107],3.679,0.00191229,0.0945358,0.0936621,3.52148,3.68047,3.83376,2485.84,1819.11,1263.77,1.00146
mu[108],4.19331,0.000872091,0.0437318,0.0424546,4.11447,4.1968,4.2586,2548.58,2543.25,1295.67,1.00032
mu[109],3.679,0.00191229,0.0945358,0.0936621,3.52148,3.68047,3.83376,2485.84,1819.11,1263.77,1.00146
mu[110],4.27587,0.000918839,0.0496431,0.0467361,4.2032,4.27101,4.36612,2866.81,2649.34,1457.45,1.00027
mu[111],3.679,0.00191229,0.0945358,0.0936621,3.52148,3.68047,3.83376,2485.84,1819.11,1263.77,1.00146
mu[112],4.8232,0.00106474,0.0542432,0.0511373,4.74744,4.81567,4.92359,2566.56,2537.41,1304.81,1.00025
mu[113],5.28798,0.00190426,0.0960172,0.0965557,5.13513,5.2874,5.44504,2647.56,2008.11,1345.99,1.00195
mu[114],4.27587,0.000918839,0.0496431,0.0467361,4.2032,4.27101,4.36612,2866.81,2649.34,1457.45,1.00027
mu[115],4.19331,0.000872091,0.0437318,0.0424546,4.11447,4.1968,4.2586,2548.58,2543.25,1295.67,1.00032
mu[116],3.64597,0.00205003,0.100872,0.0992782,3.47564,3.64701,3.80644,2455.69,2075.61,1248.45,1.00076
mu[117],3.679,0.00191229,0.0945358,0.0936621,3.52148,3.68047,3.83376,2485.84,1819.11,1263.77,1.00146
mu[118],4.77367,0.00063743,0.0315119,0.0312207,4.72208,4.77318,4.82617,2485.84,1819.11,1263.77,1.00146
mu[119],4.22633,0.00063743,0.0315119,0.0312207,4.17383,4.22682,4.27792,2485.84,1819.11,1263.77,1.00146
