participant_id,model,total_log_lik,mean_log_lik,WAIC,elpd_waic
201,WBA,-152.3873626330075,-0.9959958342026635,307.3252287760111,-153.66261438800555
201,SBA,-238.57463038523247,-1.5593113097074018,477.78985541485804,-238.89492770742902
