,Mean,StdDev,5%,50%,95%,R_hat,ESS_bulk
w_direct,0.347944,0.0955071,0.22149,0.334877,0.520026,1.0018,2501.99
w_social,0.0107635,0.00943932,0.000700671,0.0082647,0.0296172,1.00067,1846.47
sigma,0.657572,0.0386072,0.597623,0.656264,0.724272,1.00045,2595.75
