,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
lp__,-112.766,0.0200126,0.76677,0.304244,-114.242,-112.478,-112.257,1740.95,1881.56,1911.03,1.00133
sigma,1.24223,0.00192016,0.0696636,0.0680665,1.13583,1.23834,1.36328,1330.33,1673.02,1460.3,1.00171
log_lik[1],-1.87013,0.000702199,0.0264239,0.0251173,-1.91832,-1.86633,-1.83415,1329.53,1673.02,1459.42,1.00169
log_lik[2],-2.06559,0.00129333,0.0479108,0.0469812,-2.14995,-2.0612,-1.99493,1330.33,1673.02,1460.3,1.00171
log_lik[3],-1.26204,0.00114815,0.041654,0.0410422,-1.33392,-1.26007,-1.19769,1330.33,1673.02,1460.3,1.00171
log_lik[4],-1.42173,0.000668648,0.0241383,0.0232578,-1.46528,-1.41928,-1.38693,1330.33,1673.02,1460.3,1.00171
log_lik[5],-2.36197,0.00219296,0.0806791,0.0795024,-2.50118,-2.35669,-2.23874,1330.33,1673.02,1460.3,1.00171
log_lik[6],-1.64529,0.000117235,0.00473638,0.00192997,-1.65403,-1.64348,-1.64209,1896.28,2173.56,2081.54,1.00069
log_lik[7],-1.42173,0.000668648,0.0241383,0.0232578,-1.46528,-1.41928,-1.38693,1330.33,1673.02,1460.3,1.00171
log_lik[8],-1.35019,0.000880554,0.0319597,0.0310852,-1.40644,-1.34796,-1.30215,1330.34,1673.02,1460.3,1.00171
log_lik[9],-1.7526,0.000354571,0.0137821,0.0118246,-1.77904,-1.74916,-1.73777,1319.17,1802.86,1448.04,1.00204
log_lik[10],-1.21605,0.00128698,0.0467249,0.0461097,-1.29609,-1.21422,-1.14319,1330.33,1673.02,1460.3,1.00171
log_lik[11],-1.13557,0.00153088,0.0556112,0.0549631,-1.22989,-1.13398,-1.04781,1330.34,1673.02,1460.3,1.00171
log_lik[12],-2.78993,0.00349167,0.128077,0.126585,-3.00835,-2.78337,-2.59079,1330.33,1673.02,1460.3,1.00171
log_lik[13],-1.35019,0.000880554,0.0319597,0.0310852,-1.40644,-1.34796,-1.30215,1330.34,1673.02,1460.3,1.00171
log_lik[14],-1.21605,0.00128698,0.0467249,0.0461097,-1.29609,-1.21422,-1.14319,1330.33,1673.02,1460.3,1.00171
log_lik[15],-1.13557,0.00153088,0.0556112,0.0549631,-1.22989,-1.13398,-1.04781,1330.34,1673.02,1460.3,1.00171
log_lik[16],-1.13557,0.00153088,0.0556112,0.0549631,-1.22989,-1.13398,-1.04781,1330.34,1673.02,1460.3,1.00171
log_lik[17],-1.13557,0.00153088,0.0556112,0.0549631,-1.22989,-1.13398,-1.04781,1330.34,1673.02,1460.3,1.00171
log_lik[18],-1.42173,0.000668648,0.0241383,0.0232578,-1.46528,-1.41928,-1.38693,1330.33,1673.02,1460.3,1.00171
log_lik[19],-1.28887,0.00106722,0.0386994,0.0380368,-1.35599,-1.28682,-1.22949,1330.33,1673.02,1460.3,1.00171
log_lik[20],-2.20867,0.00172766,0.0637183,0.0626803,-2.31951,-2.20385,-2.11263,1330.33,1673.02,1460.3,1.00171
log_lik[21],-5.28489,0.011064,0.404629,0.400641,-5.96504,-5.27081,-4.64318,1330.33,1673.02,1460.3,1.00171
log_lik[22],-2.979,0.00406562,0.149027,0.147443,-3.23241,-2.97187,-2.74632,1330.33,1673.02,1460.3,1.00171
