,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
lp__,-123.45,0.0204316,0.734518,0.29185,-124.838,-123.176,-122.962,1607.87,1704.71,1736.36,1.00046
sigma,1.32849,0.00197041,0.0719466,0.0705377,1.21528,1.32473,1.45318,1364.66,1447.46,1473.72,1.00456
log_lik[1],-1.21158,0.00143855,0.052786,0.0520241,-1.30102,-1.21017,-1.12581,1364.66,1447.46,1473.72,1.00456
log_lik[2],-1.22944,0.00138712,0.0508791,0.0501358,-1.31582,-1.22797,-1.14697,1364.66,1447.46,1473.72,1.00456
log_lik[3],-1.52414,0.000543216,0.0195999,0.018895,-1.55999,-1.52179,-1.4961,1364.66,1447.46,1473.71,1.00456
log_lik[4],-1.39018,0.000925081,0.0337501,0.0332251,-1.449,-1.38824,-1.3374,1364.66,1447.46,1473.72,1.00456
log_lik[5],-1.4527,0.000746213,0.0271205,0.026619,-1.5008,-1.45056,-1.41146,1364.66,1447.46,1473.72,1.00456
log_lik[6],-3.26556,0.00450235,0.167491,0.164832,-3.55913,-3.25799,-3.00281,1364.66,1447.46,1473.72,1.00456
log_lik[7],-1.4527,0.000746213,0.0271205,0.026619,-1.5008,-1.45056,-1.41146,1364.66,1447.46,1473.72,1.00456
log_lik[8],-1.4527,0.000746213,0.0271205,0.026619,-1.5008,-1.45056,-1.41146,1364.66,1447.46,1473.72,1.00456
log_lik[9],-1.21158,0.00143855,0.052786,0.0520241,-1.30102,-1.21017,-1.12581,1364.66,1447.46,1473.72,1.00456
log_lik[10],-2.27429,0.00164077,0.0613889,0.060128,-2.38479,-2.26969,-2.18151,1364.66,1447.46,1473.72,1.00456
log_lik[11],-2.81346,0.00319666,0.119079,0.116911,-3.02353,-2.80724,-2.62823,1364.66,1447.46,1473.72,1.00456
log_lik[12],-1.27297,0.00126181,0.0462332,0.0454928,-1.35189,-1.27138,-1.19855,1364.66,1447.46,1473.72,1.00456
log_lik[13],-2.14033,0.00125497,0.0470835,0.0458641,-2.22609,-2.13614,-2.07053,1364.66,1447.46,1473.72,1.00456
log_lik[14],-1.74182,0.000153176,0.00599441,0.00299137,-1.75417,-1.7396,-1.73741,1650.03,2264.47,1781.89,1.00188
log_lik[15],-1.27297,0.00126181,0.0462332,0.0454928,-1.35189,-1.27138,-1.19855,1364.66,1447.46,1473.72,1.00456
log_lik[16],-1.21158,0.00143855,0.052786,0.0520241,-1.30102,-1.21017,-1.12581,1364.66,1447.46,1473.72,1.00456
log_lik[17],-1.4527,0.000746213,0.0271205,0.026619,-1.5008,-1.45056,-1.41146,1364.66,1447.46,1473.72,1.00456
log_lik[18],-1.74182,0.000153176,0.00599441,0.00299137,-1.75417,-1.7396,-1.73741,1650.03,2264.47,1781.89,1.00188
log_lik[19],-1.27297,0.00126181,0.0462332,0.0454928,-1.35189,-1.27138,-1.19855,1364.66,1447.46,1473.72,1.00456
log_lik[20],-1.4527,0.000746213,0.0271205,0.026619,-1.5008,-1.45056,-1.41146,1364.66,1447.46,1473.72,1.00456
log_lik[21],-1.39018,0.000925081,0.0337501,0.0332251,-1.449,-1.38824,-1.3374,1364.66,1447.46,1473.72,1.00456
log_lik[22],-3.46203,0.00506986,0.188533,0.185811,-3.79188,-3.45386,-3.16559,1364.66,1447.46,1473.72,1.00456
log_lik[23],-2.14033,0.00125497,0.0470835,0.0458641,-2.22609,-2.13614,-2.07053,1364.66,1447.46,1473.72,1.00456
log_lik[24],-1.21158,0.00143855,0.052786,0.0520241,-1.30102,-1.21017,-1.12581,1364.66,1447.46,1473.72,1.00456
log_lik[25],-1.27297,0.00126181,0.0462332,0.0454928,-1.35189,-1.27138,-1.19855,1364.66,1447.46,1473.72,1.00456
log_lik[26],-1.4527,0.000746213,0.0271205,0.026619,-1.5008,-1.45056,-1.41146,1364.66,1447.46,1473.72,1.00456
log_lik[27],-1.20264,0.00146427,0.0537396,0.0529713,-1.29362,-1.20126,-1.11523,1364.66,1447.46,1473.72,1.00456
log_lik[28],-2.64825,0.00271966,0.101393,0.0994865,-2.82781,-2.64253,-2.49135,1364.66,1447.46,1473.72,1.00456
log_lik[29],-1.21158,0.00143855,0.052786,0.0520241,-1.30102,-1.21017,-1.12581,1364.66,1447.46,1473.72,1.00456
log_lik[30],-2.01531,0.000895878,0.0337668,0.032857,-2.07798,-2.01149,-1.96694,1364.47,1447.46,1473.51,1.00456
