,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
lp__,-128.408,0.0184007,0.708319,0.308781,-129.851,-128.134,-127.909,1671.36,1736.25,1836.66,1.00117
sigma,1.36598,0.00205971,0.0745772,0.0730656,1.24881,1.36325,1.49568,1359.17,1508.46,1493.59,1.00027
log_lik[1],-1.35711,0.00111785,0.0405969,0.0399268,-1.42716,-1.35598,-1.29267,1359.17,1508.46,1493.59,1.00027
log_lik[2],-3.182,0.00421078,0.157977,0.153826,-3.45678,-3.17199,-2.93584,1359.17,1508.46,1493.59,1.00027
log_lik[3],-1.65176,0.000272904,0.00934369,0.00784992,-1.67075,-1.64921,-1.64224,1331.33,1508.46,1463.0,0.999988
log_lik[4],-1.53453,0.00060426,0.02151,0.0208428,-1.57384,-1.53253,-1.50307,1359.17,1508.46,1493.6,1.00027
log_lik[5],-1.9992,0.00076702,0.0296845,0.0280423,-2.05411,-1.99495,-1.95799,1359.17,1508.46,1493.6,1.00027
log_lik[6],-1.83763,0.000305831,0.0125439,0.0102808,-1.8625,-1.83415,-1.82466,1444.11,2205.6,1586.94,1.00017
log_lik[7],-1.53453,0.00060426,0.02151,0.0208428,-1.57384,-1.53253,-1.50307,1359.17,1508.46,1493.6,1.00027
log_lik[8],-1.35711,0.00111785,0.0405969,0.0399268,-1.42716,-1.35598,-1.29267,1359.17,1508.46,1493.59,1.00027
log_lik[9],-1.40781,0.000970689,0.035122,0.0345384,-1.46907,-1.40642,-1.35278,1359.17,1508.46,1493.59,1.00027
log_lik[10],-1.26735,0.0013788,0.05031,0.0493028,-1.35295,-1.26665,-1.18622,1359.17,1508.46,1493.59,1.00027
log_lik[11],-1.29692,0.0012928,0.0471085,0.0461839,-1.3774,-1.29607,-1.22128,1359.17,1508.46,1493.59,1.00027
log_lik[12],-1.23884,0.00146176,0.0533985,0.0522815,-1.32938,-1.23827,-1.1524,1359.17,1508.46,1493.59,1.00027
log_lik[13],-1.35711,0.00111785,0.0405969,0.0399268,-1.42716,-1.35598,-1.29267,1359.17,1508.46,1493.59,1.00027
log_lik[14],-1.46695,0.000799324,0.0287509,0.0281007,-1.51796,-1.46527,-1.42292,1359.17,1508.46,1493.59,1.00027
log_lik[15],-1.83763,0.000305831,0.0125439,0.0102808,-1.8625,-1.83415,-1.82466,1444.11,2205.6,1586.94,1.00017
log_lik[16],-1.23039,0.00148634,0.0543138,0.0532071,-1.32239,-1.22986,-1.14239,1359.17,1508.46,1493.59,1.00027
log_lik[17],-1.23039,0.00148634,0.0543138,0.0532071,-1.32239,-1.22986,-1.14239,1359.17,1508.46,1493.59,1.00027
log_lik[18],-1.24623,0.00144025,0.0525977,0.0515228,-1.33549,-1.24563,-1.16117,1359.17,1508.46,1493.59,1.00027
log_lik[19],-1.83763,0.000305831,0.0125439,0.0102808,-1.8625,-1.83415,-1.82466,1444.11,2205.6,1586.94,1.00017
log_lik[20],-1.23039,0.00148634,0.0543138,0.0532071,-1.32239,-1.22986,-1.14239,1359.17,1508.46,1493.59,1.00027
log_lik[21],-2.37939,0.00187126,0.0708271,0.0689683,-2.50497,-2.37328,-2.2723,1359.17,1508.46,1493.59,1.00027
log_lik[22],-1.61057,0.000387317,0.0134986,0.0126871,-1.6367,-1.6082,-1.59324,1360.84,1508.46,1495.43,1.00025
log_lik[23],-1.33494,0.00118228,0.0429949,0.0422111,-1.40883,-1.33391,-1.26637,1359.17,1508.46,1493.59,1.00027
log_lik[24],-1.74047,9.9805e-05,0.00435417,0.00181018,-1.74959,-1.73871,-1.73741,1954.33,2271.81,2147.62,0.999997
log_lik[25],-2.24421,0.00147739,0.0561699,0.0544699,-2.34467,-2.23876,-2.16055,1359.17,1508.46,1493.59,1.00027
log_lik[26],-1.53453,0.00060426,0.02151,0.0208428,-1.57384,-1.53253,-1.50307,1359.17,1508.46,1493.6,1.00027
log_lik[27],-3.36787,0.00475274,0.178168,0.173555,-3.67719,-3.35696,-3.0895,1359.17,1508.46,1493.59,1.00027
log_lik[28],-2.59799,0.00250829,0.0945516,0.0919804,-2.76421,-2.59083,-2.45303,1359.17,1508.46,1493.59,1.00027
log_lik[29],-1.29692,0.0012928,0.0471085,0.0461839,-1.3774,-1.29607,-1.22128,1359.17,1508.46,1493.59,1.00027
log_lik[30],-1.25573,0.0014126,0.0515681,0.0505422,-1.34335,-1.25509,-1.17244,1359.17,1508.46,1493.6,1.00027
log_lik[31],-1.33494,0.00118228,0.0429949,0.0422111,-1.40883,-1.33391,-1.26637,1359.17,1508.46,1493.59,1.00027
log_lik[32],-1.46695,0.000799324,0.0287509,0.0281007,-1.51796,-1.46527,-1.42292,1359.17,1508.46,1493.59,1.00027
log_lik[33],-1.23884,0.00146176,0.0533985,0.0522815,-1.32938,-1.23827,-1.1524,1359.17,1508.46,1493.59,1.00027
log_lik[34],-1.23039,0.00148634,0.0543138,0.0532071,-1.32239,-1.22986,-1.14239,1359.17,1508.46,1493.59,1.00027
log_lik[35],-1.83763,0.000305831,0.0125439,0.0102808,-1.8625,-1.83415,-1.82466,1444.11,2205.6,1586.94,1.00017
log_lik[36],-1.9992,0.00076702,0.0296845,0.0280423,-2.05411,-1.99495,-1.95799,1359.17,1508.46,1493.6,1.00027
log_lik[37],-2.91904,0.0034441,0.129414,0.126085,-3.14493,-2.91031,-2.71844,1359.17,1508.46,1493.59,1.00027
log_lik[38],-1.74047,9.9805e-05,0.00435417,0.00181018,-1.74959,-1.73871,-1.73741,1954.33,2271.81,2147.62,0.999997
log_lik[39],-1.35711,0.00111785,0.0405969,0.0399268,-1.42716,-1.35598,-1.29267,1359.17,1508.46,1493.59,1.00027
log_lik[40],-1.24623,0.00144025,0.0525977,0.0515228,-1.33549,-1.24563,-1.16117,1359.17,1508.46,1493.59,1.00027
log_lik[41],-1.65176,0.000272904,0.00934369,0.00784992,-1.67075,-1.64921,-1.64224,1331.33,1508.46,1463.0,0.999988
log_lik[42],-1.23884,0.00146176,0.0533985,0.0522815,-1.32938,-1.23827,-1.1524,1359.17,1508.46,1493.59,1.00027
log_lik[43],-1.26735,0.0013788,0.05031,0.0493028,-1.35295,-1.26665,-1.18622,1359.17,1508.46,1493.59,1.00027
log_lik[44],-1.23039,0.00148634,0.0543138,0.0532071,-1.32239,-1.22986,-1.14239,1359.17,1508.46,1493.59,1.00027
log_lik[45],-1.26735,0.0013788,0.05031,0.0493028,-1.35295,-1.26665,-1.18622,1359.17,1508.46,1493.59,1.00027
log_lik[46],-1.46695,0.000799324,0.0287509,0.0281007,-1.51796,-1.46527,-1.42292,1359.17,1508.46,1493.59,1.00027
log_lik[47],-1.23884,0.00146176,0.0533985,0.0522815,-1.32938,-1.23827,-1.1524,1359.17,1508.46,1493.59,1.00027
log_lik[48],-1.23884,0.00146176,0.0533985,0.0522815,-1.32938,-1.23827,-1.1524,1359.17,1508.46,1493.59,1.00027
log_lik[49],-1.23884,0.00146176,0.0533985,0.0522815,-1.32938,-1.23827,-1.1524,1359.17,1508.46,1493.59,1.00027
log_lik[50],-2.75429,0.00296384,0.111522,0.108479,-2.94956,-2.74637,-2.58224,1359.17,1508.46,1493.59,1.00027
log_lik[51],-1.53453,0.00060426,0.02151,0.0208428,-1.57384,-1.53253,-1.50307,1359.17,1508.46,1493.6,1.00027
log_lik[52],-1.25573,0.0014126,0.0515681,0.0505422,-1.34335,-1.25509,-1.17244,1359.17,1508.46,1493.6,1.00027
log_lik[53],-1.23039,0.00148634,0.0543138,0.0532071,-1.32239,-1.22986,-1.14239,1359.17,1508.46,1493.59,1.00027
log_lik[54],-1.23039,0.00148634,0.0543138,0.0532071,-1.32239,-1.22986,-1.14239,1359.17,1508.46,1493.59,1.00027
log_lik[55],-2.37939,0.00187126,0.0708271,0.0689683,-2.50497,-2.37328,-2.2723,1359.17,1508.46,1493.59,1.00027
log_lik[56],-1.65176,0.000272904,0.00934369,0.00784992,-1.67075,-1.64921,-1.64224,1331.33,1508.46,1463.0,0.999988
log_lik[57],-1.35711,0.00111785,0.0405969,0.0399268,-1.42716,-1.35598,-1.29267,1359.17,1508.46,1493.59,1.00027
log_lik[58],-4.9055,0.00923686,0.345235,0.336799,-5.50065,-4.88712,-4.3607,1359.17,1508.46,1493.59,1.00027
log_lik[59],-1.29692,0.0012928,0.0471085,0.0461839,-1.3774,-1.29607,-1.22128,1359.17,1508.46,1493.59,1.00027
log_lik[60],-1.40781,0.000970689,0.035122,0.0345384,-1.46907,-1.40642,-1.35278,1359.17,1508.46,1493.59,1.00027
log_lik[61],-1.26735,0.0013788,0.05031,0.0493028,-1.35295,-1.26665,-1.18622,1359.17,1508.46,1493.59,1.00027
log_lik[62],-3.36787,0.00475274,0.178168,0.173555,-3.67719,-3.35696,-3.0895,1359.17,1508.46,1493.59,1.00027
log_lik[63],-1.83763,0.000305831,0.0125439,0.0102808,-1.8625,-1.83415,-1.82466,1444.11,2205.6,1586.94,1.00017
log_lik[64],-1.33494,0.00118228,0.0429949,0.0422111,-1.40883,-1.33391,-1.26637,1359.17,1508.46,1493.59,1.00027
log_lik[65],-2.24421,0.00147739,0.0561699,0.0544699,-2.34467,-2.23876,-2.16055,1359.17,1508.46,1493.59,1.00027
log_lik[66],-1.53453,0.00060426,0.02151,0.0208428,-1.57384,-1.53253,-1.50307,1359.17,1508.46,1493.6,1.00027
log_lik[67],-1.9992,0.00076702,0.0296845,0.0280423,-2.05411,-1.99495,-1.95799,1359.17,1508.46,1493.6,1.00027
log_lik[68],-1.35711,0.00111785,0.0405969,0.0399268,-1.42716,-1.35598,-1.29267,1359.17,1508.46,1493.59,1.00027
log_lik[69],-1.9992,0.00076702,0.0296845,0.0280423,-2.05411,-1.99495,-1.95799,1359.17,1508.46,1493.6,1.00027
log_lik[70],-3.36787,0.00475274,0.178168,0.173555,-3.67719,-3.35696,-3.0895,1359.17,1508.46,1493.59,1.00027
log_lik[71],-1.29692,0.0012928,0.0471085,0.0461839,-1.3774,-1.29607,-1.22128,1359.17,1508.46,1493.59,1.00027
log_lik[72],-1.26735,0.0013788,0.05031,0.0493028,-1.35295,-1.26665,-1.18622,1359.17,1508.46,1493.59,1.00027
log_lik[73],-1.23884,0.00146176,0.0533985,0.0522815,-1.32938,-1.23827,-1.1524,1359.17,1508.46,1493.59,1.00027
log_lik[74],-1.94323,0.000605553,0.0236777,0.0219458,-1.98774,-1.93925,-1.91172,1361.05,1508.46,1495.65,1.00028
log_lik[75],-1.40781,0.000970689,0.035122,0.0345384,-1.46907,-1.40642,-1.35278,1359.17,1508.46,1493.59,1.00027
log_lik[76],-2.24421,0.00147739,0.0561699,0.0544699,-2.34467,-2.23876,-2.16055,1359.17,1508.46,1493.59,1.00027
log_lik[77],-1.40781,0.000970689,0.035122,0.0345384,-1.46907,-1.40642,-1.35278,1359.17,1508.46,1493.59,1.00027
log_lik[78],-1.9992,0.00076702,0.0296845,0.0280423,-2.05411,-1.99495,-1.95799,1359.17,1508.46,1493.6,1.00027
log_lik[79],-1.94323,0.000605553,0.0236777,0.0219458,-1.98774,-1.93925,-1.91172,1361.05,1508.46,1495.65,1.00028
log_lik[80],-1.9992,0.00076702,0.0296845,0.0280423,-2.05411,-1.99495,-1.95799,1359.17,1508.46,1493.6,1.00027
log_lik[81],-1.40781,0.000970689,0.035122,0.0345384,-1.46907,-1.40642,-1.35278,1359.17,1508.46,1493.59,1.00027
log_lik[82],-1.53453,0.00060426,0.02151,0.0208428,-1.57384,-1.53253,-1.50307,1359.17,1508.46,1493.6,1.00027
log_lik[83],-3.36787,0.00475274,0.178168,0.173555,-3.67719,-3.35696,-3.0895,1359.17,1508.46,1493.59,1.00027
log_lik[84],-1.23884,0.00146176,0.0533985,0.0522815,-1.32938,-1.23827,-1.1524,1359.17,1508.46,1493.59,1.00027
log_lik[85],-1.24623,0.00144025,0.0525977,0.0515228,-1.33549,-1.24563,-1.16117,1359.17,1508.46,1493.59,1.00027
log_lik[86],-3.36787,0.00475274,0.178168,0.173555,-3.67719,-3.35696,-3.0895,1359.17,1508.46,1493.59,1.00027
log_lik[87],-1.9992,0.00076702,0.0296845,0.0280423,-2.05411,-1.99495,-1.95799,1359.17,1508.46,1493.6,1.00027
log_lik[88],-1.40781,0.000970689,0.035122,0.0345384,-1.46907,-1.40642,-1.35278,1359.17,1508.46,1493.59,1.00027
log_lik[89],-1.23884,0.00146176,0.0533985,0.0522815,-1.32938,-1.23827,-1.1524,1359.17,1508.46,1493.59,1.00027
log_lik[90],-2.75429,0.00296384,0.111522,0.108479,-2.94956,-2.74637,-2.58224,1359.17,1508.46,1493.59,1.00027
log_lik[91],-1.35711,0.00111785,0.0405969,0.0399268,-1.42716,-1.35598,-1.29267,1359.17,1508.46,1493.59,1.00027
log_lik[92],-1.46695,0.000799324,0.0287509,0.0281007,-1.51796,-1.46527,-1.42292,1359.17,1508.46,1493.59,1.00027
log_lik[93],-1.23039,0.00148634,0.0543138,0.0532071,-1.32239,-1.22986,-1.14239,1359.17,1508.46,1493.59,1.00027
log_lik[94],-1.29692,0.0012928,0.0471085,0.0461839,-1.3774,-1.29607,-1.22128,1359.17,1508.46,1493.59,1.00027
log_lik[95],-3.36787,0.00475274,0.178168,0.173555,-3.67719,-3.35696,-3.0895,1359.17,1508.46,1493.59,1.00027
log_lik[96],-3.36787,0.00475274,0.178168,0.173555,-3.67719,-3.35696,-3.0895,1359.17,1508.46,1493.59,1.00027
log_lik[97],-1.23039,0.00148634,0.0543138,0.0532071,-1.32239,-1.22986,-1.14239,1359.17,1508.46,1493.59,1.00027
log_lik[98],-1.23039,0.00148634,0.0543138,0.0532071,-1.32239,-1.22986,-1.14239,1359.17,1508.46,1493.59,1.00027
log_lik[99],-1.31487,0.00124061,0.0451655,0.0443019,-1.39224,-1.31394,-1.24258,1359.17,1508.46,1493.59,1.00027
log_lik[100],-2.91904,0.0034441,0.129414,0.126085,-3.14493,-2.91031,-2.71844,1359.17,1508.46,1493.59,1.00027
log_lik[101],-1.46695,0.000799324,0.0287509,0.0281007,-1.51796,-1.46527,-1.42292,1359.17,1508.46,1493.59,1.00027
log_lik[102],-1.35711,0.00111785,0.0405969,0.0399268,-1.42716,-1.35598,-1.29267,1359.17,1508.46,1493.59,1.00027
log_lik[103],-1.46695,0.000799324,0.0287509,0.0281007,-1.51796,-1.46527,-1.42292,1359.17,1508.46,1493.59,1.00027
log_lik[104],-2.24421,0.00147739,0.0561699,0.0544699,-2.34467,-2.23876,-2.16055,1359.17,1508.46,1493.59,1.00027
log_lik[105],-1.46695,0.000799324,0.0287509,0.0281007,-1.51796,-1.46527,-1.42292,1359.17,1508.46,1493.59,1.00027
