,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
lp__,-174.064,0.0506748,1.48934,1.27578,-176.976,-173.694,-172.395,1019.38,1317.75,565.382,1.00182
w_direct,0.642548,0.0128996,0.445847,0.26572,0.233778,0.506929,1.55719,1671.33,1423.1,926.969,1.00053
w_social,0.220935,0.00559266,0.190757,0.111188,0.0475568,0.169542,0.573627,1445.06,1584.22,801.477,1.00345
sigma,1.75139,0.00270291,0.0942441,0.0967339,1.59895,1.74946,1.91257,1281.95,978.804,711.009,1.00399
mu[1],4.14756,0.00130415,0.0521867,0.0559341,4.05969,4.14773,4.23245,1563.94,1398.68,867.407,1.00061
mu[2],3.44269,0.00391245,0.15656,0.167802,3.17907,3.44319,3.69734,1563.94,1398.68,867.407,1.0006
mu[3],3.79175,0.00394577,0.173896,0.179558,3.50063,3.79732,4.06764,1935.72,1680.13,1073.61,1.00221
mu[4],4.31872,0.00360385,0.20351,0.209968,3.96414,4.32723,4.64211,3092.5,1941.44,1715.2,1.00095
mu[5],5.38616,0.00537847,0.244932,0.255347,4.99972,5.37612,5.80018,2047.86,1658.64,1135.81,1.00141
mu[6],5.55731,0.00391245,0.15656,0.167802,5.30266,5.55681,5.82093,1563.94,1398.68,867.407,1.00061
mu[7],4.49663,0.00220669,0.133628,0.137285,4.26061,4.50139,4.70856,3578.67,2432.76,1984.84,1.00094
mu[8],4.85244,0.00130415,0.0521867,0.0559341,4.76755,4.85227,4.94031,1563.94,1398.68,867.407,1.00061
mu[9],4.31872,0.00360385,0.20351,0.209968,3.96414,4.32723,4.64211,3092.5,1941.44,1715.2,1.00095
mu[10],3.61384,0.00537847,0.244932,0.255347,3.19982,3.62388,4.00028,2047.86,1658.64,1135.81,1.00141
mu[11],3.44269,0.00391245,0.15656,0.167802,3.17907,3.44319,3.69734,1563.94,1398.68,867.407,1.0006
mu[12],3.9764,0.00326137,0.211255,0.21454,3.63615,3.97306,4.3299,4220.62,2785.13,2340.89,1.00069
