,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
mu[88],6.44327,0.00318621,0.157149,0.160361,6.17607,6.45048,6.69353,2328.65,1897.21,1296.57,1.00033
mu[89],5.66596,0.00191173,0.0942895,0.0962164,5.50564,5.67029,5.81612,2328.65,1897.21,1296.57,1.00033
mu[90],6.44327,0.00318621,0.157149,0.160361,6.17607,6.45048,6.69353,2328.65,1897.21,1296.57,1.00033
mu[91],6.32438,0.00282003,0.163691,0.166065,6.04325,6.33216,6.58379,3316.6,2743.21,1846.66,1.00092
mu[92],5.54707,0.00188316,0.117221,0.11632,5.34151,5.55332,5.72627,3747.29,3015.37,2086.46,1.00194
mu[93],5.66596,0.00191173,0.0942895,0.0962164,5.50564,5.67029,5.81612,2328.65,1897.21,1296.57,1.00033
mu[94],7.22058,0.0044607,0.220009,0.224505,6.84649,7.23067,7.57094,2328.65,1897.21,1296.57,1.00033
mu[95],4.03208,0.00155345,0.0767773,0.069676,3.88303,4.04495,4.13466,2340.74,2801.68,1303.31,1.0002
mu[96],6.44327,0.00318621,0.157149,0.160361,6.17607,6.45048,6.69353,2328.65,1897.21,1296.57,1.00033
mu[97],4.88865,0.000637242,0.0314298,0.0320721,4.83521,4.8901,4.93871,2328.65,1897.21,1296.57,1.00033
mu[98],5.5867,0.00171215,0.100643,0.102422,5.41187,5.59115,5.74532,3437.05,2981.36,1913.73,1.00097
mu[99],3.45293,0.00188316,0.117221,0.11632,3.27373,3.44668,3.65849,3747.29,3015.37,2086.46,1.00194
mu[100],4.23024,0.00157262,0.0926788,0.0853761,4.11072,4.21151,4.41002,2847.76,2720.55,1585.61,1.0001
mu[101],6.44327,0.00318621,0.157149,0.160361,6.17607,6.45048,6.69353,2328.65,1897.21,1296.57,1.00033
mu[102],3.45293,0.00188316,0.117221,0.11632,3.27373,3.44668,3.65849,3747.29,3015.37,2086.46,1.00194
mu[103],4.11135,0.000637242,0.0314298,0.0320721,4.06129,4.1099,4.16479,2328.65,1897.21,1296.57,1.00033
mu[104],5.5867,0.00171215,0.100643,0.102422,5.41187,5.59115,5.74532,3437.05,2981.36,1913.73,1.00097
mu[105],4.23024,0.00157262,0.0926788,0.0853761,4.11072,4.21151,4.41002,2847.76,2720.55,1585.61,1.0001
mu[106],5.66596,0.00191173,0.0942895,0.0962164,5.50564,5.67029,5.81612,2328.65,1897.21,1296.57,1.00033
mu[107],4.19061,0.00102145,0.0637228,0.0598572,4.10295,4.18106,4.30782,3423.87,2945.94,1906.39,1.00037
mu[108],6.44327,0.00318621,0.157149,0.160361,6.17607,6.45048,6.69353,2328.65,1897.21,1296.57,1.00033
mu[109],5.54707,0.00188316,0.117221,0.11632,5.34151,5.55332,5.72627,3747.29,3015.37,2086.46,1.00194
mu[110],5.66596,0.00191173,0.0942895,0.0962164,5.50564,5.67029,5.81612,2328.65,1897.21,1296.57,1.00033
mu[111],3.99245,0.00209804,0.106492,0.0951152,3.7802,4.01367,4.12547,2128.25,2306.61,1184.99,1.00019
mu[112],6.44327,0.00318621,0.157149,0.160361,6.17607,6.45048,6.69353,2328.65,1897.21,1296.57,1.00033
mu[113],4.80939,0.00102145,0.0637228,0.0598572,4.69218,4.81894,4.89705,3423.87,2945.94,1906.39,1.00037
mu[114],6.32438,0.00282003,0.163691,0.166065,6.04325,6.33216,6.58379,3316.6,2743.21,1846.66,1.00092
mu[115],5.54707,0.00188316,0.117221,0.11632,5.34151,5.55332,5.72627,3747.29,3015.37,2086.46,1.00194
mu[116],4.11135,0.000637242,0.0314298,0.0320721,4.06129,4.1099,4.16479,2328.65,1897.21,1296.57,1.00033
mu[117],5.66596,0.00191173,0.0942895,0.0962164,5.50564,5.67029,5.81612,2328.65,1897.21,1296.57,1.00033
mu[118],5.00755,0.00209804,0.106492,0.0951152,4.87453,4.98633,5.2198,2128.25,2306.61,1184.99,1.00019
mu[119],4.23024,0.00157262,0.0926788,0.0853761,4.11072,4.21151,4.41002,2847.76,2720.55,1585.61,1.0001
mu[120],5.54707,0.00188316,0.117221,0.11632,5.34151,5.55332,5.72627,3747.29,3015.37,2086.46,1.00194
mu[121],4.23024,0.00157262,0.0926788,0.0853761,4.11072,4.21151,4.41002,2847.76,2720.55,1585.61,1.0001
mu[122],3.99245,0.00209804,0.106492,0.0951152,3.7802,4.01367,4.12547,2128.25,2306.61,1184.99,1.00019
mu[123],7.22058,0.0044607,0.220009,0.224505,6.84649,7.23067,7.57094,2328.65,1897.21,1296.57,1.00033
mu[124],7.22058,0.0044607,0.220009,0.224505,6.84649,7.23067,7.57094,2328.65,1897.21,1296.57,1.00033
mu[125],5.54707,0.00188316,0.117221,0.11632,5.34151,5.55332,5.72627,3747.29,3015.37,2086.46,1.00194
