,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
lp__,-136.891,0.0428698,1.43174,1.15629,-139.575,-136.531,-135.37,1448.39,1539.35,763.114,1.00153
w_direct,0.171039,0.000919199,0.05066,0.0479096,0.0985249,0.165755,0.260951,2928.09,2413.42,1542.72,1.00242
w_social,0.0275333,0.000421033,0.0224613,0.0202941,0.00200496,0.0224179,0.0699778,1743.34,1104.4,918.512,1.00147
sigma,1.3829,0.00175481,0.0818665,0.0848642,1.25263,1.37953,1.51927,2357.45,1664.96,1242.07,1.00184
mu[1],5.21243,0.00293867,0.154832,0.148742,4.98019,5.1996,5.48399,2686.33,2372.21,1415.35,1.00208
mu[2],4.4089,0.00141275,0.0749773,0.0731834,4.30357,4.39985,4.5477,2627.73,2485.09,1384.47,1.0016
mu[3],5.50442,0.00321019,0.172888,0.172974,5.22686,5.50661,5.78829,2905.75,2579.53,1530.96,1.00243
mu[4],4.00713,0.0019033,0.103891,0.103742,3.83451,4.00543,4.17616,3002.02,2372.34,1581.67,1.00216
mu[5],4.99287,0.0019033,0.103891,0.103742,4.82384,4.99457,5.16549,3002.02,2372.34,1581.67,1.00216
mu[6],5.10265,0.00192611,0.103733,0.103784,4.93612,5.10397,5.27298,2905.76,2579.53,1530.96,1.00243
mu[7],5.10265,0.00192611,0.103733,0.103784,4.93612,5.10397,5.27298,2905.76,2579.53,1530.96,1.00243
mu[8],4.00713,0.0019033,0.103891,0.103742,3.83451,4.00543,4.17616,3002.02,2372.34,1581.67,1.00216
mu[9],5.33975,0.00307931,0.168276,0.168851,5.06614,5.34089,5.6212,2999.81,2299.52,1580.51,1.00218
mu[10],4.29912,0.000642038,0.0345776,0.0345947,4.24234,4.29868,4.35463,2905.75,2579.53,1530.95,1.00243
mu[11],5.50442,0.00321019,0.172888,0.172974,5.22686,5.50661,5.78829,2905.75,2579.53,1530.96,1.00243
mu[12],4.70088,0.000642038,0.0345776,0.0345947,4.64537,4.70132,4.75766,2905.75,2579.53,1530.95,1.00243
mu[13],5.10265,0.00192611,0.103733,0.103784,4.93612,5.10397,5.27298,2905.76,2579.53,1530.96,1.00243
mu[14],3.09381,0.00449426,0.242044,0.242163,2.69639,3.09075,3.48239,2905.76,2579.53,1530.96,1.00243
mu[15],4.93798,0.00232233,0.125605,0.12355,4.72744,4.94388,5.13811,2980.3,2671.86,1570.23,1.00174
mu[16],4.86555,0.00266623,0.139252,0.137564,4.68779,4.84153,5.12249,2108.64,1661.29,1110.98,1.0016
mu[17],4.86555,0.00266623,0.139252,0.137564,4.68779,4.84153,5.12249,2108.64,1661.29,1110.98,1.0016
mu[18],3.78757,0.00293867,0.154832,0.148742,3.51601,3.8004,4.01981,2686.33,2372.21,1415.35,1.00208
mu[19],4.99287,0.0019033,0.103891,0.103742,4.82384,4.99457,5.16549,3002.02,2372.34,1581.67,1.00216
mu[20],4.00713,0.0019033,0.103891,0.103742,3.83451,4.00543,4.17616,3002.02,2372.34,1581.67,1.00216
mu[21],5.10265,0.00192611,0.103733,0.103784,4.93612,5.10397,5.27298,2905.76,2579.53,1530.96,1.00243
mu[22],4.06202,0.00232233,0.125605,0.12355,3.86189,4.05612,4.27256,2980.3,2671.86,1570.23,1.00174
mu[23],3.25848,0.00410715,0.224548,0.223527,2.89044,3.25974,3.62382,2989.96,2414.29,1575.32,1.00235
mu[24],4.46378,0.00214524,0.113144,0.110786,4.31441,4.44591,4.67433,2404.92,2169.6,1267.08,1.00163
mu[25],4.86555,0.00266623,0.139252,0.137564,4.68779,4.84153,5.12249,2108.64,1661.29,1110.98,1.0016
mu[26],5.21243,0.00293867,0.154832,0.148742,4.98019,5.1996,5.48399,2686.33,2372.21,1415.35,1.00208
mu[27],4.13445,0.00266623,0.139252,0.137564,3.87751,4.15847,4.31221,2108.64,1661.29,1110.98,1.0016
mu[28],4.06202,0.00232233,0.125605,0.12355,3.86189,4.05612,4.27256,2980.3,2671.86,1570.23,1.00174
mu[29],4.29912,0.000642038,0.0345776,0.0345947,4.24234,4.29868,4.35463,2905.75,2579.53,1530.95,1.00243
mu[30],5.74152,0.00410715,0.224548,0.223527,5.37618,5.74026,6.10956,2989.96,2414.29,1575.32,1.00235
mu[31],4.5911,0.00141275,0.0749773,0.0731834,4.4523,4.60015,4.69643,2627.73,2485.09,1384.47,1.0016
mu[32],5.21243,0.00293867,0.154832,0.148742,4.98019,5.1996,5.48399,2686.33,2372.21,1415.35,1.00208
mu[33],3.66025,0.00307931,0.168276,0.168851,3.3788,3.65911,3.93386,2999.81,2299.52,1580.51,1.00218
mu[34],4.99287,0.0019033,0.103891,0.103742,4.82384,4.99457,5.16549,3002.02,2372.34,1581.67,1.00216
mu[35],4.99287,0.0019033,0.103891,0.103742,4.82384,4.99457,5.16549,3002.02,2372.34,1581.67,1.00216
mu[36],5.79641,0.00409499,0.22323,0.225226,5.43193,5.79702,6.16201,2973.97,2443.18,1566.9,1.0024
mu[37],4.00713,0.0019033,0.103891,0.103742,3.83451,4.00543,4.17616,3002.02,2372.34,1581.67,1.00216
mu[38],5.33975,0.00307931,0.168276,0.168851,5.06614,5.34089,5.6212,2999.81,2299.52,1580.51,1.00218
mu[39],4.5911,0.00141275,0.0749773,0.0731834,4.4523,4.60015,4.69643,2627.73,2485.09,1384.47,1.0016
mu[40],4.93798,0.00232233,0.125605,0.12355,4.72744,4.94388,5.13811,2980.3,2671.86,1570.23,1.00174
mu[41],4.5911,0.00141275,0.0749773,0.0731834,4.4523,4.60015,4.69643,2627.73,2485.09,1384.47,1.0016
mu[42],5.50442,0.00321019,0.172888,0.172974,5.22686,5.50661,5.78829,2905.75,2579.53,1530.96,1.00243
mu[43],4.4089,0.00141275,0.0749773,0.0731834,4.30357,4.39985,4.5477,2627.73,2485.09,1384.47,1.0016
mu[44],3.89735,0.00192611,0.103733,0.103784,3.72702,3.89603,4.06388,2905.76,2579.53,1530.96,1.00243
mu[45],4.93798,0.00232233,0.125605,0.12355,4.72744,4.94388,5.13811,2980.3,2671.86,1570.23,1.00174
mu[46],4.00713,0.0019033,0.103891,0.103742,3.83451,4.00543,4.17616,3002.02,2372.34,1581.67,1.00216
mu[47],4.81066,0.00191494,0.100074,0.0979113,4.67718,4.79427,4.99462,2221.7,1925.53,1170.55,1.00172
mu[48],4.99287,0.0019033,0.103891,0.103742,4.82384,4.99457,5.16549,3002.02,2372.34,1581.67,1.00216
mu[49],4.18934,0.00191494,0.100074,0.0979113,4.00538,4.20573,4.32282,2221.7,1925.53,1170.55,1.00172
mu[50],4.29912,0.000642038,0.0345776,0.0345947,4.24234,4.29868,4.35463,2905.75,2579.53,1530.95,1.00243
mu[51],5.90619,0.00449426,0.242044,0.242163,5.51761,5.90925,6.30361,2905.76,2579.53,1530.96,1.00243
mu[52],3.66025,0.00307931,0.168276,0.168851,3.3788,3.65911,3.93386,2999.81,2299.52,1580.51,1.00218
mu[53],4.29912,0.000642038,0.0345776,0.0345947,4.24234,4.29868,4.35463,2905.75,2579.53,1530.95,1.00243
mu[54],4.06202,0.00232233,0.125605,0.12355,3.86189,4.05612,4.27256,2980.3,2671.86,1570.23,1.00174
mu[55],5.10265,0.00192611,0.103733,0.103784,4.93612,5.10397,5.27298,2905.76,2579.53,1530.96,1.00243
mu[56],4.86555,0.00266623,0.139252,0.137564,4.68779,4.84153,5.12249,2108.64,1661.29,1110.98,1.0016
mu[57],5.74152,0.00410715,0.224548,0.223527,5.37618,5.74026,6.10956,2989.96,2414.29,1575.32,1.00235
mu[58],4.4089,0.00141275,0.0749773,0.0731834,4.30357,4.39985,4.5477,2627.73,2485.09,1384.47,1.0016
mu[59],3.49558,0.00321019,0.172888,0.172974,3.21171,3.49339,3.77314,2905.75,2579.53,1530.96,1.00243
mu[60],5.39464,0.00292351,0.159781,0.159276,5.13443,5.39398,5.656,2989.9,2406.3,1575.29,1.00236
