,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
lp__,-181.802,0.0590342,1.57852,1.2796,-184.919,-181.375,-180.085,863.742,960.446,449.631,1.00151
w_direct,0.0230305,0.00037348,0.0195453,0.0165026,0.00152896,0.0180782,0.0597689,1681.38,1130.79,875.264,1.00122
w_social,0.0214288,0.000344359,0.01709,0.0158265,0.00138613,0.0176491,0.0544799,1573.69,877.503,819.206,1.00243
sigma,1.76428,0.00243145,0.0928405,0.0937688,1.61373,1.76023,1.92529,1458.94,873.369,759.469,1.0017
mu[1],4.30547,0.0018931,0.0957135,0.0943676,4.13075,4.31528,4.4417,2324.97,1703.67,1210.29,1.00023
mu[2],4.37655,0.00254115,0.121861,0.123415,4.14566,4.39584,4.53577,1959.02,2208.42,1019.79,1.00153
mu[3],4.17994,0.00342882,0.168165,0.165487,3.86959,4.20317,4.41318,2051.85,1722.55,1068.12,1.00059
mu[4],4.82421,0.00315516,0.159522,0.15728,4.59717,4.80786,5.11541,2324.97,1703.67,1210.29,1.00023
mu[5],4.50623,0.00228557,0.111269,0.106114,4.32829,4.50184,4.69223,2350.68,3498.4,1223.68,1.00065
mu[6],4.30963,0.00236484,0.114286,0.111794,4.09306,4.3299,4.46025,1794.53,1420.98,934.163,1.00164
mu[7],4.75314,0.00331063,0.15957,0.158202,4.54727,4.72486,5.05607,1726.83,1237.98,898.924,1.00234
mu[8],4.43516,0.000631032,0.0319045,0.0314559,4.37692,4.43843,4.48057,2324.97,1703.67,1210.29,1.00023
mu[9],4.36408,0.00268479,0.134368,0.128908,4.11041,4.39147,4.52901,1924.7,1519.21,1001.93,1.00182
mu[10],4.431,0.0016875,0.083992,0.0790943,4.27509,4.4466,4.53927,2069.1,2171.43,1077.1,1.00111
mu[11],4.62345,0.00254115,0.121861,0.123415,4.46423,4.60416,4.85434,1959.02,2208.42,1019.79,1.00153
mu[12],4.30132,0.002512,0.127539,0.119805,4.06558,4.32768,4.45836,1963.64,1600.93,1022.2,1.00073
mu[13],4.431,0.0016875,0.083992,0.0790943,4.27509,4.4466,4.53927,2069.1,2171.43,1077.1,1.00111
mu[14],4.82421,0.00315516,0.159522,0.15728,4.59717,4.80786,5.11541,2324.97,1703.67,1210.29,1.00023
mu[15],4.69453,0.0018931,0.0957135,0.0943676,4.5583,4.68472,4.86925,2324.97,1703.67,1210.29,1.00023
mu[16],4.50623,0.00228557,0.111269,0.106114,4.32829,4.50184,4.69223,2350.68,3498.4,1223.68,1.00065
mu[17],4.569,0.0016875,0.083992,0.0790943,4.46073,4.5534,4.72491,2069.1,2171.43,1077.1,1.00111
mu[18],4.49377,0.00228557,0.111269,0.106114,4.30777,4.49816,4.67171,2350.68,3498.4,1223.68,1.00065
mu[19],4.24686,0.00331063,0.15957,0.158202,3.94393,4.27514,4.45273,1726.83,1237.98,898.924,1.00234
mu[20],4.569,0.0016875,0.083992,0.0790943,4.46073,4.5534,4.72491,2069.1,2171.43,1077.1,1.00111
mu[21],4.24686,0.00331063,0.15957,0.158202,3.94393,4.27514,4.45273,1726.83,1237.98,898.924,1.00234
mu[22],4.69453,0.0018931,0.0957135,0.0943676,4.5583,4.68472,4.86925,2324.97,1703.67,1210.29,1.00023
mu[23],4.69453,0.0018931,0.0957135,0.0943676,4.5583,4.68472,4.86925,2324.97,1703.67,1210.29,1.00023
mu[24],4.63592,0.00268479,0.134368,0.128908,4.47099,4.60853,4.88959,1924.7,1519.21,1001.93,1.00182
mu[25],4.43931,0.00160791,0.0773717,0.0771913,4.2967,4.44903,4.54565,2121.75,2814.34,1104.5,1.00091
mu[26],4.49377,0.00228557,0.111269,0.106114,4.30777,4.49816,4.67171,2350.68,3498.4,1223.68,1.00065
mu[27],4.82421,0.00315516,0.159522,0.15728,4.59717,4.80786,5.11541,2324.97,1703.67,1210.29,1.00023
mu[28],4.69453,0.0018931,0.0957135,0.0943676,4.5583,4.68472,4.86925,2324.97,1703.67,1210.29,1.00023
mu[29],4.82006,0.00342882,0.168165,0.165487,4.58682,4.79683,5.13041,2051.85,1722.55,1068.12,1.00059
mu[30],4.82006,0.00342882,0.168165,0.165487,4.58682,4.79683,5.13041,2051.85,1722.55,1068.12,1.00059
mu[31],4.75314,0.00331063,0.15957,0.158202,4.54727,4.72486,5.05607,1726.83,1237.98,898.924,1.00234
mu[32],4.569,0.0016875,0.083992,0.0790943,4.46073,4.5534,4.72491,2069.1,2171.43,1077.1,1.00111
mu[33],4.82006,0.00342882,0.168165,0.165487,4.58682,4.79683,5.13041,2051.85,1722.55,1068.12,1.00059
mu[34],4.82006,0.00342882,0.168165,0.165487,4.58682,4.79683,5.13041,2051.85,1722.55,1068.12,1.00059
mu[35],4.43516,0.000631032,0.0319045,0.0314559,4.37692,4.43843,4.48057,2324.97,1703.67,1210.29,1.00023
mu[36],4.82006,0.00342882,0.168165,0.165487,4.58682,4.79683,5.13041,2051.85,1722.55,1068.12,1.00059
mu[37],4.56484,0.000631032,0.0319045,0.0314559,4.51943,4.56157,4.62308,2324.97,1703.67,1210.29,1.00023
mu[38],4.36408,0.00268479,0.134368,0.128908,4.11041,4.39147,4.52901,1924.7,1519.21,1001.93,1.00182
mu[39],4.82421,0.00315516,0.159522,0.15728,4.59717,4.80786,5.11541,2324.97,1703.67,1210.29,1.00023
mu[40],4.69453,0.0018931,0.0957135,0.0943676,4.5583,4.68472,4.86925,2324.97,1703.67,1210.29,1.00023
mu[41],4.63592,0.00268479,0.134368,0.128908,4.47099,4.60853,4.88959,1924.7,1519.21,1001.93,1.00182
mu[42],4.43516,0.000631032,0.0319045,0.0314559,4.37692,4.43843,4.48057,2324.97,1703.67,1210.29,1.00023
mu[43],4.69868,0.002512,0.127539,0.119805,4.54164,4.67232,4.93442,1963.64,1600.93,1022.2,1.00073
mu[44],4.37655,0.00254115,0.121861,0.123415,4.14566,4.39584,4.53577,1959.02,2208.42,1019.79,1.00153
mu[45],4.30963,0.00236484,0.114286,0.111794,4.09306,4.3299,4.46025,1794.53,1420.98,934.163,1.00164
mu[46],4.49377,0.00228557,0.111269,0.106114,4.30777,4.49816,4.67171,2350.68,3498.4,1223.68,1.00065
mu[47],4.62345,0.00254115,0.121861,0.123415,4.46423,4.60416,4.85434,1959.02,2208.42,1019.79,1.00153
mu[48],4.24686,0.00331063,0.15957,0.158202,3.94393,4.27514,4.45273,1726.83,1237.98,898.924,1.00234
mu[49],4.82421,0.00315516,0.159522,0.15728,4.59717,4.80786,5.11541,2324.97,1703.67,1210.29,1.00023
mu[50],4.63592,0.00268479,0.134368,0.128908,4.47099,4.60853,4.88959,1924.7,1519.21,1001.93,1.00182
mu[51],4.69453,0.0018931,0.0957135,0.0943676,4.5583,4.68472,4.86925,2324.97,1703.67,1210.29,1.00023
mu[52],4.56069,0.00160791,0.0773717,0.0771913,4.45435,4.55097,4.7033,2121.75,2814.34,1104.5,1.00091
mu[53],4.82006,0.00342882,0.168165,0.165487,4.58682,4.79683,5.13041,2051.85,1722.55,1068.12,1.00059
mu[54],4.36408,0.00268479,0.134368,0.128908,4.11041,4.39147,4.52901,1924.7,1519.21,1001.93,1.00182
mu[55],4.63592,0.00268479,0.134368,0.128908,4.47099,4.60853,4.88959,1924.7,1519.21,1001.93,1.00182
mu[56],4.24686,0.00331063,0.15957,0.158202,3.94393,4.27514,4.45273,1726.83,1237.98,898.924,1.00234
mu[57],4.17579,0.00315516,0.159522,0.15728,3.88459,4.19214,4.40283,2324.97,1703.67,1210.29,1.00023
mu[58],4.69037,0.00236484,0.114286,0.111794,4.53975,4.6701,4.90694,1794.53,1420.98,934.163,1.00164
