,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
lp__,-79.0307,0.0344327,1.27956,1.05933,-81.5074,-78.7162,-77.6299,1556.91,1695.01,839.305,1.00095
w_direct,1.88868,0.0102041,0.510996,0.484191,1.19443,1.81155,2.86857,2803.3,2026.85,1511.21,1.00117
w_social,0.278364,0.00323271,0.154571,0.143821,0.0723101,0.254972,0.560686,2011.43,1447.14,1084.33,1.00118
sigma,0.992586,0.0011042,0.0569317,0.0576096,0.90154,0.989751,1.09286,2716.05,2297.88,1464.18,1.00115
mu[1],6.47232,0.00156601,0.0939633,0.0941476,6.31109,6.47623,6.62244,3525.8,2243.83,1900.7,1.00023
mu[2],5.81483,0.000865542,0.0441621,0.0445068,5.73672,5.81788,5.88153,2582.74,2000.3,1392.31,1.0011
mu[3],5.81483,0.000865542,0.0441621,0.0445068,5.73672,5.81788,5.88153,2582.74,2000.3,1392.31,1.0011
mu[4],5.15733,0.00196248,0.096345,0.0978352,5.001,5.1559,5.3165,2318.33,1447.14,1249.77,1.00052
mu[5],6.36279,0.00224031,0.128947,0.129082,6.14478,6.36799,6.56875,3214.02,2095.63,1732.63,1.0002
mu[6],6.03388,0.00238218,0.113581,0.117634,5.8473,6.03409,6.22046,2271.9,1775.67,1224.74,1.00088
mu[7],5.15733,0.00196248,0.096345,0.0978352,5.001,5.1559,5.3165,2318.33,1447.14,1249.77,1.00052
mu[8],4.71922,0.00164115,0.0860098,0.0865359,4.57374,4.72021,4.85484,2609.82,1611.13,1406.91,0.999982
mu[9],4.93828,0.000288514,0.0147207,0.0148356,4.91224,4.93929,4.96051,2582.74,2000.3,1392.31,1.0011
mu[10],4.39031,0.00252478,0.130693,0.131963,4.18452,4.38834,4.60998,2542.54,1579.91,1370.64,1.00012
mu[11],6.47232,0.00156601,0.0939633,0.0941476,6.31109,6.47623,6.62244,3525.8,2243.83,1900.7,1.00023
mu[12],6.47232,0.00156601,0.0939633,0.0941476,6.31109,6.47623,6.62244,3525.8,2243.83,1900.7,1.00023
mu[13],7.34887,0.00182373,0.110205,0.111578,7.15907,7.35275,7.51999,3583.5,2711.46,1931.81,0.999652
