,count,mean,std,min,25%,50%,75%,max
FirstRating,3520.0,4.6224431818181815,1.754564298132747,1.0,3.0,5.0,6.0,8.0
GroupRating,3520.0,4.029829545454546,2.4875859956476596,0.0,2.0,4.0,6.0,8.0
SecondRating,3520.0,4.3724431818181815,1.8084396088560644,1.0,3.0,4.0,6.0,8.0
rating_change,3520.0,-0.25,1.4715257028975572,-6.0,-1.0,0.0,1.0,5.0
social_gap,3520.0,-0.5926136363636364,2.5906584514101776,-8.0,-3.0,0.0,2.0,3.0
