,count,mean,std,min,25%,50%,75%,max
FirstRating,6120.0,4.979575163398692,1.612200526275166,1.0,4.0,5.0,6.0,8.0
GroupRating,6120.0,4.9068627450980395,2.0560423892456194,1.0,3.0,5.0,7.0,8.0
SecondRating,6120.0,4.953921568627451,1.5926476501098132,1.0,4.0,5.0,6.0,8.0
rating_change,6120.0,-0.02565359477124183,1.5923380642331642,-6.0,-1.0,0.0,1.0,6.0
social_gap,6120.0,-0.0727124183006536,2.018570548426013,-3.0,-2.0,0.0,2.0,3.0
